,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 495,False,False,False,False,False,False,False,True
Document 496,False,True,True,False,False,False,False,False
Document 497,False,True,False,False,False,True,False,False
Document 498,True,False,False,False,False,False,False,False
Document 499,False,True,False,False,False,False,False,False
Document 500,False,False,False,False,False,False,True,False
Document 501,False,False,False,False,False,False,False,True
Document 502,False,False,True,False,False,False,False,True
Document 503,False,True,True,False,False,False,False,False
Document 504,False,True,False,False,True,False,False,False
Document 505,True,False,False,False,False,False,False,True
Document 506,False,False,True,True,False,False,False,False
Document 507,False,False,False,False,True,False,True,False
Document 508,False,True,False,False,False,False,False,False
Document 509,False,False,True,False,False,False,False,False
Document 510,False,False,False,False,True,False,False,True
Document 511,False,False,False,True,False,False,False,False
Document 512,False,False,False,False,False,False,False,True
Document 513,True,False,False,False,False,False,False,True
Document 514,False,False,False,True,False,False,False,False
Document 515,True,False,False,False,True,False,False,False
Document 516,False,True,False,False,False,False,False,True
Document 517,True,False,False,False,False,False,False,False
Document 518,False,True,False,False,False,False,True,False
Document 519,False,True,False,False,False,False,False,False
Document 520,False,False,False,False,False,False,False,True
Document 521,False,False,False,False,False,True,False,True
Document 522,False,False,False,False,False,False,False,True
Document 523,False,True,False,False,False,False,False,True
Document 524,False,False,False,False,False,False,False,True
Document 525,False,False,False,False,False,False,True,False
Document 526,False,True,False,False,False,False,False,True
Document 527,False,False,False,True,False,False,True,True
Document 528,True,False,False,False,False,False,False,True
Document 529,False,False,False,False,True,False,False,False
Document 530,False,True,False,False,False,False,True,False
Document 531,True,False,False,False,False,False,False,True
Document 532,False,True,False,True,False,False,False,True
Document 533,False,False,False,False,False,True,False,False
Document 534,False,False,False,False,False,False,True,True
Document 535,True,False,False,True,False,False,False,False
Document 536,False,False,True,False,False,False,False,False
Document 537,False,False,False,False,False,False,False,True
Document 538,False,False,False,False,True,False,False,False
Document 539,False,True,False,False,False,False,False,False
Document 540,False,False,True,False,False,False,False,False
Document 541,False,False,False,True,False,False,False,True
Document 542,False,True,False,False,False,False,False,False
Document 543,False,False,False,False,False,True,False,False
Document 544,True,False,False,False,False,False,False,False
Document 545,True,False,False,False,False,False,True,False
Document 546,False,False,False,False,True,False,True,False
Document 547,False,False,False,True,True,False,False,False
Document 548,False,False,True,True,False,False,False,False
Document 549,False,False,False,False,False,False,False,True
Document 550,False,False,False,False,False,False,False,True
Document 551,False,False,True,False,False,True,False,False
Document 552,False,False,False,False,False,False,False,True
Document 553,False,False,False,False,False,False,False,True
Document 554,False,True,False,False,False,False,False,True
Document 555,False,False,False,False,False,True,False,True
Document 556,False,False,False,False,False,True,False,False
Document 557,False,False,False,False,False,False,True,True
Document 558,False,False,True,False,False,False,False,False
Document 559,False,False,True,False,False,False,True,False
Document 560,False,False,True,False,False,True,False,False
Document 561,False,False,False,True,False,True,False,False
Document 562,True,False,False,False,False,False,False,False
Document 563,True,False,False,False,False,False,False,True
Document 564,False,False,False,True,False,False,True,False
Document 565,False,False,False,False,False,False,True,False
Document 566,False,False,False,False,False,True,True,False
Document 567,False,True,False,False,False,False,False,False
Document 568,False,False,False,False,False,True,True,False
Document 569,True,False,False,False,False,False,False,False
Document 570,False,False,False,False,False,True,False,False
Document 571,True,False,False,False,False,False,False,True
Document 572,True,True,False,False,False,False,False,True
Document 573,True,False,False,False,False,True,False,False
Document 574,True,True,False,False,False,False,False,True
Document 575,False,True,False,False,False,False,True,False
Document 576,True,True,False,False,False,False,False,True
Document 577,False,True,False,False,False,False,False,False
Document 578,False,True,False,False,False,False,False,True
Document 579,False,False,False,False,False,False,False,True
Document 580,False,False,True,False,False,False,False,True
Document 581,True,False,False,False,False,False,False,True
Document 582,False,False,False,False,False,True,False,True
Document 583,False,True,False,False,False,False,False,False
Document 584,False,False,True,False,False,False,False,False
Document 585,False,False,True,False,False,False,False,False
Document 586,True,False,False,False,False,False,False,True
Document 587,False,True,False,False,False,False,False,False
Document 588,False,False,False,False,False,False,True,False
Document 589,False,False,False,False,False,False,False,True
Document 590,False,True,False,False,False,False,False,False
Document 591,False,True,False,False,False,False,False,True
Document 592,False,False,False,False,False,False,True,True
Document 593,False,False,False,False,False,True,False,False
Document 594,False,False,False,True,False,False,False,False
Document 595,True,False,False,True,False,False,False,True
Document 596,False,False,False,False,False,True,False,True
Document 597,False,False,False,False,False,True,False,False
Document 598,True,False,False,False,True,True,False,False
Document 599,False,True,False,False,False,False,False,False
Document 600,False,False,False,False,False,False,True,True
Document 601,False,True,True,False,False,True,False,False
Document 602,False,False,True,False,True,False,False,False
Document 603,False,False,False,False,True,False,True,False
Document 604,True,False,True,False,False,False,False,False
Document 605,False,False,False,True,False,False,False,True
Document 606,False,False,True,False,True,False,False,True
Document 607,False,False,False,False,False,True,False,True
Document 608,False,False,False,False,True,False,False,True
Document 609,True,False,False,False,False,False,False,True
Document 610,False,True,False,False,False,False,True,False
Document 611,False,True,False,False,False,False,False,False
Document 612,False,False,False,False,False,True,False,False
Document 613,False,True,False,False,False,False,False,True
Document 614,False,False,False,False,False,True,False,True
Document 615,False,False,False,False,False,False,False,True
Document 616,False,False,False,False,False,True,False,True
Document 617,False,True,False,False,True,False,False,False
Document 618,True,False,False,False,False,False,False,True
Document 619,False,False,False,False,False,True,True,False
Document 620,False,False,False,False,False,False,True,False
Document 621,False,False,False,True,False,False,False,False
Document 622,False,False,False,False,False,False,True,False
Document 623,False,True,False,False,False,False,True,False
Document 624,False,False,False,False,False,True,False,False
Document 625,False,False,False,False,True,False,False,True
Document 626,False,False,False,False,False,False,False,True
Document 627,False,True,False,False,False,False,False,True
Document 628,True,False,False,False,False,False,False,False
Document 629,False,False,True,False,False,False,False,False
Document 630,False,False,True,False,False,True,False,True
Document 631,False,False,False,False,False,False,False,True
Document 632,False,False,True,False,True,False,False,False
Document 633,False,False,False,False,False,False,False,True
Document 634,True,False,False,False,False,False,True,False
Document 635,False,True,False,True,False,False,True,False
Document 636,False,False,False,False,False,False,True,False
Document 637,False,False,False,False,False,False,False,True
Document 638,False,False,True,False,False,True,False,False
Document 639,False,False,False,False,False,True,False,True
Document 640,False,True,False,False,False,False,False,False
Document 641,True,False,False,False,False,False,False,False
Document 642,False,False,True,False,False,True,False,False
Document 643,False,False,False,False,False,True,False,False
Document 644,False,True,False,False,False,False,False,False
Document 645,False,False,False,False,False,False,False,True
Document 646,True,False,False,False,False,False,False,False
Document 647,False,False,False,True,False,False,False,False
Document 648,False,False,True,True,False,False,False,False
Document 649,False,False,False,False,True,False,False,True
Document 650,False,False,False,False,False,True,False,False
Document 651,False,False,False,False,True,False,False,True
Document 652,False,True,False,False,False,False,False,False
Document 653,False,True,False,False,False,False,False,False
Document 654,False,False,False,False,True,False,False,False
Document 655,False,True,False,False,False,False,False,False
Document 656,True,False,False,False,False,True,False,True
Document 657,False,False,False,False,False,True,False,False
