,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 454,9.1,5.4,1.9,71.4,3.4,0.1,6.1,2.7,Topic 3,71.4
Document 455,3.2,40.0,9.1,4.0,10.1,6.2,4.8,22.7,Topic 1,40.0
Document 456,1.7,43.4,0.3,0.1,0.3,7.1,28.5,18.5,Topic 1,43.4
Document 457,7.7,14.7,13.8,2.3,1.8,27.8,6.8,25.1,Topic 5,27.8
Document 458,1.1,9.1,6.3,34.4,6.8,0.4,40.2,1.8,Topic 6,40.2
Document 459,1.6,17.1,17.4,4.7,26.7,2.0,9.8,20.6,Topic 4,26.7
Document 460,51.1,7.8,0.4,20.0,3.6,6.9,1.5,8.7,Topic 0,51.1
Document 461,6.1,21.5,10.6,11.5,4.7,5.7,29.2,10.7,Topic 6,29.2
Document 462,16.1,0.0,14.9,13.5,34.5,0.1,0.7,20.3,Topic 4,34.5
Document 463,38.8,1.7,3.5,6.4,26.2,0.2,2.9,20.3,Topic 0,38.8
Document 464,7.9,0.0,9.4,0.0,25.0,0.0,24.9,32.7,Topic 7,32.7
Document 465,2.9,26.9,4.2,0.7,3.6,10.3,2.8,48.6,Topic 7,48.6
Document 466,0.5,1.5,27.0,3.1,32.5,23.5,3.5,8.4,Topic 4,32.5
Document 467,13.6,9.8,14.5,11.7,16.8,12.3,0.2,20.9,Topic 7,20.9
Document 468,25.5,4.6,3.9,0.2,29.9,2.9,4.9,28.0,Topic 4,29.9
Document 469,4.4,12.8,6.9,9.5,25.9,1.0,18.6,20.8,Topic 4,25.9
Document 470,17.2,11.3,0.7,12.2,10.3,6.5,10.3,31.5,Topic 7,31.5
Document 471,12.5,12.7,9.0,13.3,3.9,6.9,31.5,10.2,Topic 6,31.5
Document 472,7.3,17.3,4.1,0.6,10.5,11.8,0.2,48.3,Topic 7,48.3
Document 473,0.1,15.8,3.7,1.1,13.5,41.0,8.5,16.1,Topic 5,41.0
Document 474,16.8,1.2,2.7,6.1,6.5,3.5,0.3,62.8,Topic 7,62.8
Document 475,5.9,11.5,0.4,2.9,0.2,2.2,4.6,72.2,Topic 7,72.2
Document 476,3.2,22.2,3.0,2.8,23.4,4.4,36.0,4.9,Topic 6,36.0
Document 477,12.7,0.1,6.7,3.2,26.0,7.7,41.5,2.1,Topic 6,41.5
Document 478,0.7,0.2,45.1,26.5,1.4,19.7,5.2,1.4,Topic 2,45.1
Document 479,2.9,7.7,1.2,0.1,1.5,2.3,1.7,82.7,Topic 7,82.7
Document 480,27.8,12.0,1.3,1.5,5.2,2.9,11.8,37.4,Topic 7,37.4
Document 481,18.7,34.3,8.3,0.6,2.4,13.7,16.2,5.8,Topic 1,34.3
Document 482,9.5,11.1,1.3,0.8,8.1,7.6,18.3,43.3,Topic 7,43.3
Document 483,4.0,17.0,23.9,0.0,11.0,17.4,2.2,24.5,Topic 7,24.5
Document 484,15.2,24.8,2.3,8.5,0.8,0.0,0.7,47.6,Topic 7,47.6
Document 485,13.1,2.9,13.0,13.2,12.3,4.8,10.0,30.6,Topic 7,30.6
Document 486,0.4,7.9,13.2,19.7,6.8,9.1,7.4,35.5,Topic 7,35.5
Document 487,7.6,8.1,5.8,20.8,6.1,1.9,36.5,13.2,Topic 6,36.5
Document 488,7.7,15.3,6.2,30.4,0.6,10.0,1.1,28.7,Topic 3,30.4
Document 489,25.1,23.5,3.2,1.7,22.3,2.0,9.4,12.8,Topic 0,25.1
Document 490,0.1,4.8,39.2,22.7,2.3,0.6,18.0,12.4,Topic 2,39.2
Document 491,12.1,0.7,4.7,46.4,10.4,19.9,1.0,4.9,Topic 3,46.4
Document 492,10.9,13.6,4.7,3.7,3.5,38.0,2.0,23.5,Topic 5,38.0
Document 493,19.1,7.2,20.8,30.6,0.8,6.0,4.0,11.5,Topic 3,30.6
Document 494,26.4,28.8,0.7,3.5,1.2,12.0,0.3,27.3,Topic 1,28.8
Document 495,12.6,0.5,7.2,8.9,15.4,4.9,15.1,35.6,Topic 7,35.6
Document 496,4.1,49.2,21.7,0.2,15.7,0.8,0.0,8.3,Topic 1,49.2
Document 497,7.7,24.1,3.6,5.7,13.3,32.0,12.6,1.1,Topic 5,32.0
Document 498,43.8,18.7,0.1,14.5,0.1,5.2,7.4,10.1,Topic 0,43.8
Document 499,8.1,32.9,17.7,6.9,13.8,3.9,0.2,16.4,Topic 1,32.9
Document 500,3.7,7.0,4.1,8.2,7.4,0.2,68.4,1.0,Topic 6,68.4
Document 501,5.8,5.7,11.4,1.6,3.5,4.9,1.0,66.1,Topic 7,66.1
Document 502,19.1,18.6,21.8,2.9,3.1,1.2,7.7,25.6,Topic 7,25.6
Document 503,0.3,47.7,50.4,0.4,0.4,0.3,0.3,0.2,Topic 2,50.4
Document 504,15.6,20.5,0.6,11.5,27.3,17.5,2.5,4.5,Topic 4,27.3
Document 505,30.1,12.8,16.0,0.3,0.5,10.6,2.3,27.5,Topic 0,30.1
Document 506,1.9,0.6,25.2,42.7,3.6,7.6,11.3,7.2,Topic 3,42.7
Document 507,1.4,8.4,6.9,0.1,39.4,13.1,22.3,8.3,Topic 4,39.4
Document 508,9.5,38.7,7.2,2.8,5.8,18.9,6.3,10.8,Topic 1,38.7
Document 509,11.6,0.6,40.3,16.4,9.2,10.1,0.1,11.8,Topic 2,40.3
Document 510,0.5,12.1,0.0,1.2,34.4,0.1,4.5,47.2,Topic 7,47.2
Document 511,1.6,8.7,5.6,53.0,9.9,0.1,10.8,10.5,Topic 3,53.0
Document 512,7.6,18.4,4.2,1.5,5.4,2.2,3.3,57.5,Topic 7,57.5
Document 513,26.0,2.7,10.8,12.2,15.1,0.3,1.9,31.0,Topic 7,31.0
Document 514,7.2,0.3,14.5,38.8,6.4,12.8,12.6,7.5,Topic 3,38.8
Document 515,27.1,0.1,3.1,0.1,56.4,8.2,3.9,1.1,Topic 4,56.4
Document 516,13.0,26.9,4.3,10.4,1.6,15.1,3.6,25.2,Topic 1,26.9
Document 517,33.2,12.3,8.9,1.2,16.8,19.9,0.5,7.2,Topic 0,33.2
Document 518,8.5,27.8,4.3,0.1,6.2,2.7,42.2,8.2,Topic 6,42.2
Document 519,10.2,28.6,16.2,5.9,13.5,16.6,1.9,7.2,Topic 1,28.6
Document 520,18.9,9.0,8.8,14.7,2.3,1.5,8.1,36.8,Topic 7,36.8
Document 521,4.4,0.0,0.0,9.2,0.1,22.4,5.3,58.6,Topic 7,58.6
